k,t,I,SOC_true,SOC_est,T_true,T_est,H_est,V_true,V_meas,V_est,R0_true,R0_model,R1_true,R1_model,C1_true,C1_model
297,298.00,-0.5000,0.78878,0.82583,20.02,23.39,-0.01297,3.5705,3.5689,3.5727,0.030974,0.023881,0.006955,0.009005,1450.56,1184.64
298,299.00,-0.5000,0.78883,0.82668,20.02,23.39,-0.01318,3.5705,3.5757,3.5734,0.030973,0.023868,0.006954,0.008997,1450.59,1184.90
299,300.00,-0.5000,0.78889,0.82441,20.02,23.38,-0.01255,3.5706,3.5647,3.5713,0.030973,0.023890,0.006954,0.009016,1450.62,1183.88
300,301.00,0.0000,0.78889,0.82501,20.02,23.37,-0.01272,3.5554,3.5620,3.5604,0.030972,0.023874,0.006954,0.009008,1450.62,1183.90
301,302.00,0.0000,0.78889,0.83116,20.02,23.29,-0.01427,3.5557,3.5847,3.5666,0.030972,0.023754,0.006954,0.008940,1450.62,1185.16
302,303.00,0.0000,0.78889,0.82282,20.02,23.37,-0.01247,3.5560,3.5312,3.5581,0.030972,0.023898,0.006954,0.009027,1450.62,1182.98
303,304.00,0.0000,0.78889,0.82006,20.02,23.39,-0.01196,3.5563,3.5461,3.5556,0.030972,0.023942,0.006954,0.009054,1450.62,1182.15
304,305.00,0.0000,0.78889,0.81701,20.02,23.41,-0.01147,3.5565,3.5415,3.5526,0.030972,0.023989,0.006954,0.009084,1450.62,1181.22
305,306.00,0.0000,0.78889,0.82162,20.02,23.36,-0.01210,3.5567,3.5767,3.5590,0.030972,0.023909,0.006954,0.009036,1450.62,1182.42
306,307.00,0.0000,0.78889,0.82028,20.02,23.37,-0.01195,3.5569,3.5523,3.5577,0.030972,0.023927,0.006954,0.009049,1450.61,1181.93
307,308.00,0.0000,0.78889,0.81864,20.02,23.37,-0.01180,3.5570,3.5490,3.5559,0.030972,0.023949,0.006954,0.009064,1450.61,1181.34
308,309.00,0.0000,0.78889,0.81865,20.02,23.37,-0.01181,3.5572,3.5565,3.5564,0.030972,0.023945,0.006954,0.009063,1450.61,1181.26
309,310.00,0.0000,0.78889,0.81913,20.02,23.36,-0.01183,3.5573,3.5597,3.5576,0.030972,0.023934,0.006954,0.009057,1450.61,1181.32
310,311.00,0.0000,0.78889,0.81889,20.02,23.36,-0.01182,3.5575,3.5565,3.5576,0.030972,0.023934,0.006954,0.009058,1450.61,1181.15
311,312.00,0.0000,0.78889,0.81724,20.02,23.36,-0.01181,3.5576,3.5475,3.5554,0.030972,0.023954,0.006954,0.009073,1450.61,1180.52
312,313.00,0.0000,0.78889,0.81838,20.02,23.35,-0.01180,3.5577,3.5633,3.5577,0.030972,0.023934,0.006954,0.009061,1450.61,1180.80
313,314.00,0.0000,0.78889,0.81819,20.02,23.34,-0.01180,3.5577,3.5567,3.5577,0.030972,0.023933,0.006954,0.009062,1450.61,1180.65
314,315.00,0.0000,0.78889,0.81780,20.02,23.34,-0.01182,3.5578,3.5553,3.5573,0.030972,0.023935,0.006954,0.009065,1450.61,1180.43
315,316.00,0.0000,0.78889,0.81744,20.02,23.34,-0.01185,3.5579,3.5551,3.5570,0.030972,0.023936,0.006954,0.009067,1450.61,1180.21
316,317.00,0.0000,0.78889,0.81904,20.02,23.32,-0.01171,3.5580,3.5690,3.5601,0.030972,0.023911,0.006954,0.009051,1450.61,1180.68
317,318.00,0.0000,0.78889,0.82080,20.02,23.31,-0.01152,3.5580,3.5735,3.5634,0.030972,0.023883,0.006954,0.009034,1450.61,1181.22
318,319.00,0.0000,0.78889,0.81678,20.02,23.32,-0.01206,3.5581,3.5323,3.5560,0.030972,0.023931,0.006954,0.009069,1450.61,1179.63
319,320.00,0.0000,0.78889,0.81766,20.02,23.31,-0.01193,3.5581,3.5632,3.5580,0.030972,0.023916,0.006954,0.009060,1450.61,1179.86
320,321.00,0.0000,0.78889,0.81596,20.02,23.31,-0.01221,3.5582,3.5445,3.5549,0.030972,0.023934,0.006954,0.009075,1450.61,1179.14
321,322.00,0.0000,0.78889,0.81500,20.02,23.31,-0.01239,3.5582,3.5474,3.5534,0.030972,0.023943,0.006954,0.009082,1450.61,1178.71
322,323.00,0.0000,0.78889,0.81608,20.02,23.30,-0.01218,3.5582,3.5628,3.5560,0.030972,0.023925,0.006954,0.009071,1450.60,1179.00
323,324.00,0.0000,0.78889,0.81420,20.02,23.30,-0.01258,3.5583,3.5403,3.5525,0.030972,0.023947,0.006954,0.009088,1450.60,1178.24
324,325.00,0.0000,0.78889,0.81466,20.02,23.29,-0.01248,3.5583,3.5569,3.5539,0.030972,0.023937,0.006954,0.009082,1450.60,1178.31
325,326.00,0.0000,0.78889,0.81486,20.02,23.28,-0.01243,3.5583,3.5560,3.5547,0.030972,0.023931,0.006954,0.009079,1450.60,1178.29
326,327.00,0.0000,0.78889,0.81481,20.02,23.28,-0.01244,3.5583,3.5545,3.5549,0.030972,0.023928,0.006954,0.009079,1450.60,1178.19
327,328.00,0.0000,0.78889,0.81449,20.02,23.27,-0.01253,3.5584,3.5522,3.5544,0.030972,0.023928,0.006954,0.009081,1450.60,1177.98
328,329.00,0.0000,0.78889,0.81442,20.02,23.27,-0.01255,3.5584,3.5541,3.5546,0.030972,0.023926,0.006954,0.009080,1450.60,1177.87
329,330.00,0.0000,0.78889,0.81622,20.02,23.26,-0.01196,3.5584,3.5722,3.5590,0.030972,0.023899,0.006954,0.009063,1450.60,1178.45
330,331.00,0.0000,0.78889,0.81553,20.02,23.25,-0.01221,3.5584,3.5522,3.5574,0.030972,0.023904,0.006954,0.009068,1450.60,1178.09
331,332.00,0.0000,0.78889,0.81611,20.02,23.25,-0.01199,3.5584,3.5634,3.5589,0.030972,0.023893,0.006954,0.009062,1450.60,1178.23
332,333.00,0.0000,0.78889,0.81434,20.02,23.24,-0.01271,3.5584,3.5406,3.5546,0.030972,0.023910,0.006954,0.009077,1450.60,1177.43
333,334.00,0.0000,0.78889,0.81785,20.02,23.23,-0.01123,3.5585,3.5916,3.5636,0.030972,0.023865,0.006954,0.009045,1450.60,1178.73
334,335.00,0.0000,0.78889,0.81530,20.02,23.23,-0.01240,3.5585,3.5358,3.5568,0.030972,0.023889,0.006954,0.009065,1450.60,1177.58
335,336.00,0.0000,0.78889,0.81610,20.02,23.22,-0.01202,3.5585,3.5658,3.5591,0.030972,0.023877,0.006954,0.009057,1450.60,1177.82
336,337.00,0.0000,0.78889,0.81586,20.02,23.22,-0.01214,3.5585,3.5564,3.5584,0.030971,0.023876,0.006954,0.009058,1450.60,1177.64
337,338.00,0.0000,0.78889,0.81695,20.02,23.21,-0.01158,3.5585,3.5708,3.5614,0.030971,0.023861,0.006954,0.009048,1450.60,1178.01
338,339.00,0.0000,0.78889,0.81659,20.02,23.21,-0.01177,3.5585,3.5572,3.5604,0.030971,0.023861,0.006954,0.009050,1450.59,1177.77
339,340.00,0.0000,0.78889,0.81676,20.02,23.20,-0.01168,3.5585,3.5623,3.5608,0.030971,0.023856,0.006954,0.009048,1450.59,1177.76
340,341.00,0.0000,0.78889,0.81801,20.02,23.20,-0.01094,3.5585,3.5757,3.5643,0.030971,0.023840,0.006954,0.009036,1450.59,1178.22
341,342.00,0.0000,0.78889,0.81852,20.02,23.19,-0.01063,3.5585,3.5704,3.5656,0.030971,0.023831,0.006954,0.009031,1450.59,1178.37
342,343.00,0.0000,0.78889,0.81741,20.02,23.18,-0.01135,3.5585,3.5512,3.5619,0.030971,0.023838,0.006954,0.009039,1450.59,1177.76
343,344.00,0.0000,0.78889,0.81698,20.02,23.18,-0.01164,3.5585,3.5563,3.5605,0.030971,0.023838,0.006954,0.009042,1450.59,1177.47
344,345.00,0.0000,0.78889,0.81574,20.02,23.17,-0.01247,3.5585,3.5445,3.5567,0.030971,0.023846,0.006954,0.009051,1450.59,1176.82
345,346.00,0.0000,0.78889,0.81639,20.02,23.16,-0.01203,3.5585,3.5652,3.5588,0.030971,0.023836,0.006954,0.009044,1450.59,1177.02
346,347.00,0.0000,0.78889,0.81700,20.02,23.16,-0.01162,3.5585,3.5667,3.5608,0.030971,0.023826,0.006954,0.009038,1450.59,1177.19
347,348.00,0.0000,0.78889,0.81781,20.02,23.16,-0.01105,3.5585,3.5714,3.5633,0.030971,0.023814,0.006954,0.009030,1450.59,1177.46
348,349.00,0.0000,0.78889,0.81730,20.02,23.15,-0.01142,3.5585,3.5562,3.5615,0.030971,0.023816,0.006954,0.009034,1450.59,1177.15
349,350.00,0.0000,0.78889,0.81886,20.02,23.15,-0.01025,3.5585,3.5826,3.5665,0.030971,0.023797,0.006954,0.009020,1450.59,1177.75
350,351.00,0.0000,0.78889,0.81886,20.02,23.14,-0.01025,3.5585,3.5661,3.5661,0.030971,0.023794,0.006954,0.009019,1450.59,1177.67
351,352.00,0.0000,0.78889,0.81829,20.02,23.13,-0.01072,3.5585,3.5577,3.5639,0.030971,0.023795,0.006954,0.009022,1450.59,1177.31
352,353.00,0.0000,0.78889,0.81718,20.02,23.12,-0.01164,3.5585,3.5477,3.5599,0.030971,0.023802,0.006954,0.009030,1450.59,1176.70
353,354.00,0.0000,0.78889,0.81626,20.02,23.12,-0.01240,3.5585,3.5468,3.5568,0.030971,0.023807,0.006954,0.009037,1450.59,1176.21
354,355.00,0.0000,0.78889,0.81558,20.02,23.11,-0.01296,3.5585,3.5473,3.5547,0.030971,0.023811,0.006954,0.009041,1450.58,1175.83
355,356.00,0.0000,0.78889,0.81583,20.02,23.11,-0.01276,3.5585,3.5586,3.5559,0.030971,0.023804,0.006954,0.009038,1450.58,1175.85
356,357.00,0.0000,0.78889,0.81501,20.02,23.10,-0.01342,3.5585,3.5445,3.5533,0.030971,0.023811,0.006954,0.009045,1450.58,1175.45
357,358.00,0.0000,0.78889,0.81548,20.02,23.10,-0.01304,3.5585,3.5604,3.5553,0.030971,0.023801,0.006954,0.009039,1450.58,1175.54
358,359.00,0.0000,0.78889,0.81655,20.02,23.09,-0.01217,3.5585,3.5706,3.5591,0.030971,0.023784,0.006954,0.009029,1450.58,1175.85
359,360.00,0.0000,0.78889,0.81665,20.02,23.08,-0.01209,3.5585,3.5607,3.5595,0.030971,0.023780,0.006954,0.009027,1450.58,1175.81
360,361.00,0.0000,0.78889,0.81644,20.02,23.08,-0.01227,3.5585,3.5564,3.5588,0.030971,0.023779,0.006954,0.009028,1450.58,1175.64
361,362.00,0.0000,0.78889,0.81627,20.02,23.07,-0.01242,3.5586,3.5563,3.5582,0.030971,0.023778,0.006954,0.009028,1450.58,1175.49
362,363.00,0.0000,0.78889,0.81603,20.02,23.07,-0.01264,3.5586,3.5546,3.5574,0.030971,0.023777,0.006954,0.009029,1450.58,1175.31
363,364.00,0.0000,0.78889,0.81673,20.02,23.06,-0.01200,3.5586,3.5682,3.5601,0.030971,0.023766,0.006954,0.009022,1450.58,1175.51
364,365.00,0.0000,0.78889,0.81670,20.02,23.06,-0.01203,3.5586,3.5595,3.5599,0.030971,0.023763,0.006954,0.009022,1450.58,1175.41
365,366.00,0.0000,0.78889,0.81626,20.02,23.05,-0.01245,3.5586,3.5531,3.5583,0.030971,0.023764,0.006954,0.009024,1450.58,1175.15
366,367.00,0.0000,0.78889,0.81642,20.02,23.05,-0.01229,3.5586,3.5608,3.5589,0.030971,0.023759,0.006954,0.009022,1450.58,1175.13
367,368.00,0.0000,0.78889,0.81692,20.02,23.04,-0.01180,3.5586,3.5668,3.5608,0.030971,0.023750,0.006954,0.009017,1450.58,1175.26
368,369.00,0.0000,0.78889,0.81705,20.02,23.04,-0.01167,3.5586,3.5629,3.5613,0.030971,0.023746,0.006954,0.009015,1450.58,1175.23
369,370.00,0.0000,0.78889,0.81718,20.02,23.03,-0.01154,3.5586,3.5632,3.5617,0.030971,0.023741,0.006954,0.009013,1450.58,1175.21
370,371.00,0.0000,0.78889,0.81662,20.02,23.03,-0.01213,3.5586,3.5524,3.5594,0.030971,0.023743,0.006954,0.009017,1450.58,1174.88
371,372.00,0.0000,0.78889,0.81696,20.02,23.02,-0.01176,3.5586,3.5651,3.5607,0.030971,0.023736,0.006954,0.009013,1450.57,1174.95
372,373.00,0.0000,0.78889,0.81761,20.02,23.02,-0.01107,3.5586,3.5714,3.5632,0.030971,0.023727,0.006954,0.009006,1450.57,1175.15
373,374.00,0.0000,0.78889,0.81677,20.02,23.01,-0.01200,3.5586,3.5488,3.5597,0.030971,0.023731,0.006954,0.009012,1450.57,1174.69
374,375.00,0.0000,0.78889,0.81642,20.02,23.00,-0.01237,3.5586,3.5539,3.5583,0.030971,0.023732,0.006954,0.009014,1450.57,1174.46
375,376.00,0.0000,0.78889,0.81669,20.02,23.00,-0.01209,3.5586,3.5628,3.5594,0.030970,0.023726,0.006954,0.009011,1450.57,1174.49
376,377.00,0.0000,0.78889,0.81655,20.02,23.00,-0.01223,3.5586,3.5572,3.5589,0.030970,0.023724,0.006954,0.009011,1450.57,1174.35
377,378.00,0.0000,0.78889,0.81575,20.02,22.99,-0.01312,3.5586,3.5453,3.5557,0.030970,0.023729,0.006954,0.009017,1450.57,1173.93
378,379.00,0.0000,0.78889,0.81549,20.02,22.99,-0.01340,3.5586,3.5516,3.5549,0.030970,0.023729,0.006954,0.009019,1450.57,1173.75
379,380.00,0.0000,0.78889,0.81680,20.02,22.98,-0.01199,3.5586,3.5769,3.5603,0.030970,0.023710,0.006954,0.009006,1450.57,1174.18
380,381.00,0.0000,0.78889,0.81571,20.02,22.97,-0.01320,3.5586,3.5418,3.5559,0.030970,0.023719,0.006954,0.009015,1450.57,1173.66
381,382.00,0.0000,0.78889,0.81515,20.02,22.97,-0.01382,3.5586,3.5466,3.5538,0.030970,0.023722,0.006954,0.009019,1450.57,1173.36
382,383.00,0.0000,0.78889,0.81542,20.02,22.96,-0.01352,3.5586,3.5586,3.5551,0.030970,0.023716,0.006954,0.009015,1450.57,1173.38
383,384.00,0.0000,0.78889,0.81494,20.02,22.96,-0.01405,3.5586,3.5472,3.5534,0.030970,0.023719,0.006954,0.009019,1450.57,1173.12
384,385.00,0.0000,0.78889,0.81505,20.02,22.96,-0.01393,3.5586,3.5556,3.5541,0.030970,0.023714,0.006954,0.009017,1450.57,1173.08
385,386.00,0.0000,0.78889,0.81594,20.02,22.95,-0.01296,3.5586,3.5693,3.5579,0.030970,0.023699,0.006954,0.009008,1450.57,1173.33
386,387.00,0.0000,0.78889,0.81539,20.02,22.94,-0.01358,3.5586,3.5485,3.5557,0.030970,0.023703,0.006954,0.009012,1450.57,1173.04
387,388.00,0.0000,0.78889,0.81570,20.02,22.94,-0.01322,3.5586,3.5613,3.5572,0.030970,0.023696,0.006954,0.009008,1450.57,1173.08
388,389.00,0.0000,0.78889,0.81621,20.02,22.93,-0.01263,3.5586,3.5661,3.5593,0.030970,0.023687,0.006954,0.009003,1450.56,1173.20
389,390.00,0.0000,0.78889,0.81553,20.02,22.93,-0.01344,3.5586,3.5472,3.5564,0.030970,0.023691,0.006954,0.009008,1450.56,1172.84
390,391.00,0.0000,0.78889,0.81583,20.02,22.92,-0.01308,3.5586,3.5618,3.5578,0.030970,0.023685,0.006954,0.009004,1450.56,1172.89
391,392.00,0.0000,0.78889,0.81640,20.02,22.92,-0.01239,3.5586,3.5681,3.5602,0.030970,0.023675,0.006954,0.008998,1450.56,1173.05
392,393.00,0.0000,0.78889,0.81611,20.02,22.91,-0.01275,3.5586,3.5549,3.5589,0.030970,0.023675,0.006954,0.009000,1450.56,1172.85
393,394.00,0.0000,0.78889,0.81575,20.02,22.91,-0.01320,3.5586,3.5522,3.5573,0.030970,0.023676,0.006954,0.009002,1450.56,1172.61
394,395.00,0.0000,0.78889,0.81602,20.02,22.90,-0.01286,3.5586,3.5623,3.5585,0.030970,0.023670,0.006954,0.008999,1450.56,1172.65
395,396.00,0.0000,0.78889,0.81589,20.02,22.90,-0.01303,3.5586,3.5560,3.5579,0.030970,0.023668,0.006954,0.008999,1450.56,1172.51
396,397.00,0.0000,0.78889,0.81664,20.02,22.89,-0.01207,3.5586,3.5719,3.5612,0.030970,0.023657,0.006954,0.008992,1450.56,1172.76
397,398.00,0.0000,0.78889,0.81597,20.02,22.89,-0.01295,3.5586,3.5484,3.5581,0.030970,0.023660,0.006954,0.008996,1450.56,1172.38
398,399.00,0.0000,0.78889,0.81661,20.02,22.88,-0.01212,3.5586,3.5701,3.5609,0.030970,0.023651,0.006954,0.008990,1450.56,1172.59
399,400.00,0.0000,0.78889,0.81662,20.02,22.88,-0.01210,3.5586,3.5610,3.5609,0.030970,0.023648,0.006954,0.008989,1450.56,1172.51
